Iteration,autoVec,explicitVec,fullVec,serial
1,2.0754716981132075,5.420560747663552,N/A,3.5585585585585586
2,2.256880733944954,3.074766355140187,N/A,7.027027027027027
3,2.565934065934066,3.981308411214953,N/A,6.90990990990991
4,2.9357798165137616,5.934579439252337,N/A,6.52991452991453
5,2.963302752293578,5.700934579439252,N/A,6.864864864864865
6,2.385321100917431,4.233644859813085,N/A,5.36036036036036
7,1.8319327731092439,3.418032786885246,N/A,6.8558558558558556
8,2.2018348623853212,3.065420560747664,N/A,6.828828828828829
9,2.4594594594594597,5.112149532710281,N/A,5.833333333333333
10,2.2123893805309733,4.065420560747664,N/A,7.3423423423423415
MEAN,2.389830508474576,4.36697247706422,N/A,6.31578947368421
