Iteration,autoVec,explicitVec,fullVec,serial
1,25.319037656903763,14.780377195508207,14.489428347689897,29.286207889432767
2,24.685563114134546,14.99531855753054,14.44954128440367,28.53320257775287
3,26.087823275862068,14.674204594093307,14.487338170436763,28.65504638740512
4,23.779415377057234,14.812760753848368,15.132170686456401,29.78243045387994
5,26.116266522794714,15.105232345407979,15.113816912911131,29.715746421267895
6,26.16711590296496,14.826277897768179,14.602064960206498,28.905221339387058
7,26.136498516320476,14.678010844748858,14.874433893352812,28.934906196702677
8,26.255594499865193,15.267057101024891,14.611512851721915,28.60157347569542
9,26.1363513877661,15.230262676520084,15.015241012178226,29.82342606149341
10,26.12156334231806,14.865318168730203,14.696063560852293,29.706071220081725
MEAN,25.65450700502247,14.921891950531569,14.743472915310624,29.18463302752294
