Iteration,autoVec,explicitVec,fullVec,serial
1,2.2547169811320753,3.2429906542056073,N/A,6.09009009009009
2,1.926605504587156,2.7663551401869158,N/A,4.171171171171172
3,1.1153846153846154,3.2429906542056073,N/A,6.117117117117117
4,2.522935779816514,3.2429906542056073,N/A,6.333333333333333
5,1.8532110091743121,3.2523364485981308,N/A,6.117117117117117
6,1.8440366972477065,3.2429906542056073,N/A,2.7567567567567566
7,1.6722689075630253,2.8360655737704916,N/A,2.3333333333333335
8,1.834862385321101,3.233644859813084,N/A,7.531531531531531
9,1.9009009009009008,3.2429906542056073,N/A,4.22463768115942
10,2.5663716814159288,3.2616822429906542,N/A,3.0630630630630633
MEAN,1.8898305084745763,3.137614678899083,N/A,4.87719298245614
