Iteration,autoVec,explicitVec,fullVec,serial
1,11.56517775752051,15.44862155388471,15.725786163522013,11.636642156862745
2,11.570212765957448,15.804265997490589,13.387865655471288,11.642353662273981
3,11.552383844518676,15.639851485148514,11.434823091247672,11.645003065603923
4,11.561360874848118,15.789209535759095,11.784276126558007,11.647148988350706
5,11.530909090909091,15.82788944723618,11.661971830985916,11.627985303123085
6,11.531212121212121,15.032296650717704,11.666041275797372,11.622093023255815
7,11.531051196607088,15.7475,11.68648130393097,11.6313533374158
8,11.52802181157225,15.820577164366373,11.535277516462841,11.627985303123085
9,11.525136281041792,13.76822633297062,11.669165885660732,11.627679118187384
10,11.532424242424243,15.775407779171895,11.906040268456376,11.629516227801592
MEAN,11.54261449802851,15.428220858895706,12.142436149312378,11.633384379785603
