Iteration,autoVec,explicitVec,fullVec,serial
1,2.6666666666666665,3.3774541884816753,3.870967741935484,2.8261069052534986
2,2.6636951192333407,4.024361948955916,3.798652550529355,2.8450346420323327
3,2.6671072923551447,4.036268425135765,3.3418145296283894,2.7947380358357905
4,2.817810086324398,3.643252595155709,3.482654867256637,2.828414550446122
5,2.7603268270540178,4.001154512218588,3.937809052871814,2.919253208868145
6,2.6401673640167362,4.078461538461538,3.2432651736449203,2.7509342712684104
7,2.832948777111214,3.385714285714286,3.862878787878788,2.8158492279745686
8,2.7602272727272723,3.4043280182232345,3.5990197858050466,2.7749102333931774
9,2.649096057503812,3.179706601466993,3.1921494143716367,2.8157894736842106
10,2.7586206896551726,3.219218291364128,3.8268605318538356,2.8515731874145005
MEAN,2.720403587443946,3.6034602076124567,3.59706828745084,2.821363636363636
