Iteration,autoVec,explicitVec,fullVec,serial
1,25.335329341317365,N/A,N/A,25.52153209109731
2,25.661087866108783,N/A,N/A,25.418392709196354
3,25.584712041884814,N/A,N/A,25.050857843137255
4,25.26421335538557,N/A,N/A,25.404101077050537
5,25.550721606358504,N/A,N/A,25.025096918996123
6,25.67601506906656,N/A,N/A,25.386622489128186
7,25.268554889394256,N/A,N/A,25.403479701739847
8,25.537126124241794,N/A,N/A,25.383692052980134
9,25.68348335775591,N/A,N/A,25.386415406916544
10,25.59610552763819,N/A,N/A,25.04164965291956
MEAN,25.512195121951223,N/A,N/A,25.300618556701032
