Iteration,autoVec,explicitVec,fullVec,serial
1,21.368462343096233,12.284840195796143,12.227735459528725,24.49582493521451
2,20.573948097757622,12.798478531197425,12.7399189246853,23.875035023816192
3,22.026400862068964,12.416535882436866,12.59716887181676,23.959516446443633
4,20.033161385408995,12.643576463818155,12.962597402597403,24.931478770131772
5,22.04100350687888,12.636589828027809,12.81602197639023,24.85626643295355
6,22.02803234501348,12.3755939524838,12.330106833010683,24.12145289443814
7,22.036957108173727,12.224457762557078,12.525712198685172,24.20892552586697
8,22.038824480992183,12.492752562225476,12.29541061072528,23.82438887327901
9,22.004042037186743,12.501426794468427,12.516881791001241,24.92650073206442
10,22.03342318059299,12.309098761877339,12.379126038280967,24.861646234676005
MEAN,21.595294739624634,12.467491140522167,12.536992840095465,24.397649082568808
