benchmark,autoVec,explicitVec,fullVec
axpy,1.1351351351351353,2.1621621621621623,2.0135135135135136
blackscholes,1.0165562913907285,2.06953642384106,1.9768211920529801
canneal,1.0271398747390397,1.2630480167014615,1.2338204592901878
jacobi2d,1.0615384615384615,1.3923076923076922,1.4076923076923076
lavamd,1.0531400966183575,2.0386473429951693,2.169082125603865
particlefilter,1.1397260273972603,2.1726027397260275,2.682191780821918
pathfinder,1.0781893004115226,1.5102880658436215,1.5637860082304527
somier,1.0232558139534884,1.7616279069767442,1.7616279069767442
streamcluster,1.0938897168405364,1.059612518628912,1.0461997019374067
swaptions,0.979296066252588,1.8881987577639754,2.072463768115942
