benchmark,autoVec,explicitVec,fullVec
axpy,1.1216326530612246,1.7242300556586272,1.686679035250464
blackscholes,1.046400194092315,1.191302238127009,1.2454661248256202
canneal,1.0350610808199323,1.2359030989026156,1.2714473048519566
jacobi2d,1.053281955886261,1.4219372840818496,1.5183364336965188
lavamd,1.1166638948943954,1.2749875270247797,1.4846166638948943
particlefilter,0.9403028035231132,2.013931264751598,2.0616544816072766
pathfinder,1.067763486797255,1.2243330454937964,1.2935508794255328
somier,1.0255186341105194,1.4186402300960772,1.4589682393978336
streamcluster,1.0554285714285714,1.1127857142857143,1.152607142857143
swaptions,1.0496921094085634,1.533867965057998,1.7607523032125638
