benchmark,autoVec,explicitVec,fullVec,serial
axpy,0.000000,0.000000,0.000000,0.000000
blackscholes,0.000000,18.000000,17.000000,0.000000
canneal,0.000000,130.000000,117.000000,0.000000
jacobi2d,0.000000,0.000000,0.000000,0.000000
lavaMD,0.000000,1.000000,1.000000,0.000000
particlefilter,2.000000,1.000000,1.000000,2.000000
pathfinder,0.000000,0.000000,0.000000,0.000000
somier,0.000000,0.000000,0.000000,0.000000
streamcluster,2.000000,2.000000,3.000000,3.000000
swaptions,52.000000,116.000000,116.000000,51.000000
