benchmark,indexInRange,pow,fma,autoVec,explicitVec,fullVec,serial,xorExtended,fmaScalar,xorPublic
axpy,0.000000,,0.000000,,,0.000000,0.000000,,0.000000,
blackscholes,12.000000,52.000000,,,,17.000000,0.000000,,,
canneal,203.000000,,,,,80.000000,0.000000,,,
jacobi2d,1056.000000,,,,,0.000000,0.000000,,,
lavaMD,2.000000,,0.000000,,,1.000000,0.000000,,0.000000,
particlefilter,2.000000,,,,,1.000000,1.000000,,,
pathfinder,1369.000000,,,,,0.000000,0.000000,,,
somier,217.000000,109.000000,0.000000,,,0.000000,0.000000,,0.000000,
streamcluster,4.000000,1471.000000,,,,3.000000,3.000000,,,
swaptions,113.000000,153.000000,,,,126.000000,50.000000,,,
