benchmark,indexInRange,pow,fma,autoVec,explicitVec,fullVec,xorExtended,fmaScalar,xorPublic
axpy,1.0,,1.0,,,1.0,,1.0,
blackscholes,1092330.8539682538,7074007.249206349,,,,832262.1365079365,,,
canneal,871463.4513948807,,,,,179143.49223468508,,,
jacobi2d,585059856.6608833,,,,,0.9936908517350158,,,
lavaMD,93984.1451104101,,93978.91167192429,,,93984.1451104101,,1.0,
particlefilter,5.216196648726678,,,,,3.187300285321039,,,
pathfinder,62300.233715526265,,,,,10.965567542950845,,,
somier,44825739.28571428,20249229.496825397,1.0,,,1.0,,1.0,
streamcluster,0.999999953880425,1715.3453580324872,,,,0.9999998731711685,,,
swaptions,2.0316988525726116,3.4272149125185405,,,,2.6447575183072907,,,
