benchmark,auto-vectorized,vector-api,fully-vectorized
axpy,1.1578947368421053,1.1578947368421053,1.1578947368421053
blackscholes,1.0026333113890717,8.46111111111111,8.46111111111111
canneal,0.9984006397441023,1.4987995198079231,1.4722877358490565
jacobi2d,1.0053032814053695,1.264276781992497,1.239983646770237
lavamd,1.0,8.700913242009133,8.681093394077449
particlefilter,1.0191754554170662,0.8463375796178344,0.8707761621953717
pathfinder,1.0,3.041015625,3.0619469026548676
somier,1.0152354570637119,3.5071770334928227,3.535369774919614
streamcluster,0.9919811320754718,4.561822125813449,4.611842105263158
swaptions,1.020260492040521,1.0714285714285714,1.0593538692712245
