Iteration,autoVec,explicitVec,fullVec,serial
1,3.125161290322581,5.6775956284153,7.278688524590165,3.1787598944591027
2,3.499005964214712,6.65934065934066,6.679558011049725,3.1773236651285437
3,3.256513026052104,6.884615384615384,6.696132596685083,3.1833773087071235
4,3.3161764705882355,5.758241758241758,5.988950276243094,3.352902374670185
5,3.257313829787234,8.077777777777778,6.273743016759777,3.2056690837178645
6,3.2154659616655654,5.783333333333333,8.209944751381215,3.2208305866842455
7,3.216358839050132,6.259668508287293,5.911111111111111,3.183256427158866
8,3.2050098879367175,5.872222222222222,6.65,3.2513192612137205
9,3.2333553065260388,6.605555555555556,6.447513812154696,3.2167325428194995
10,3.206328279499011,5.78888888888889,5.78888888888889,3.168310322156476
MEAN,3.251651254953765,6.337016574585635,6.585635359116022,3.2142386288727756
