Iteration,autoVec,explicitVec,fullVec,serial
1,9.642390289449114,2.742765273311897,2.8978930307941653,9.628988149498634
2,9.868814192343605,2.85048231511254,2.870550161812298,9.62974828375286
3,9.65126050420168,2.7768860353130016,2.9546191247974067,9.59498861047836
4,9.692953803079796,2.812199036918138,3.0825242718446604,9.69384965831435
5,9.66168922071862,2.802568218298555,3.0225806451612907,9.648131267092069
6,9.636024265048997,2.778491171749599,2.9159935379644586,9.663465935070874
7,9.644257703081234,2.767255216693419,2.8594507269789986,9.663316582914572
8,9.638357442837146,2.746388443017657,2.870550161812298,9.606102003642986
9,9.685954269715355,2.921474358974359,3.0501618122977345,9.691008671839343
10,9.679271708683475,2.738362760834671,2.9563106796116503,9.701874714220393
MEAN,9.678021465235652,2.792937399678973,2.9482200647249193,9.653582838886354
