Iteration,autoVec,explicitVec,fullVec,serial
1,2.6821487215575885,8.290052356020942,7.726128016789088,3.4253783469150174
2,2.855874795608503,8.47578947368421,7.9108280254777075,3.4617722702829083
3,2.5766492643569054,8.450643776824034,7.8913738019169335,3.9151827553889413
4,2.747268754552076,8.384780278670954,7.852688172043011,3.414453218473319
5,2.7667746413697363,8.679515418502202,7.987274655355249,3.4541413196069257
6,2.783353437876961,8.63336992316136,8.171683389074694,3.4499284692417738
7,2.7964601769911503,8.855353075170843,8.398625429553265,3.4574493444576873
8,2.6083294337856806,8.375131717597473,7.707291666666667,3.409801633605601
9,2.562246117084827,8.693391115926326,8.074154852780806,3.4780429594272073
10,2.833172845450169,8.6804932735426,8.198198198198199,3.4363420427553444
MEAN,2.720930232558139,8.548212351029251,7.988095238095238,3.4902053339627095
