Iteration,autoVec,explicitVec,fullVec,serial
1,9.510071942446043,6.700377358490567,6.522915101427499,9.497113997113997
2,9.78807471264368,6.233383685800604,6.046686746987951,9.416726748377794
3,9.547088425593097,6.481146304675716,6.537764350453172,9.498916967509025
4,9.97844827586207,6.251700680272109,6.112283345892992,9.780663780663781
5,9.481294964028779,6.138426626323752,6.054135338345864,9.468208092485549
6,9.805035971223022,6.107843137254902,6.120300751879699,9.597122302158274
7,9.516894320632638,6.790188679245283,6.741353383458645,9.50755939524838
8,9.529538904899136,6.230362537764351,6.015015015015015,9.451008645533141
9,9.493525179856116,7.151424287856071,7.040723981900452,9.593366979091563
10,9.563085796683488,6.102025506376594,6.02183734939759,9.463924963924965
MEAN,9.622302158273381,6.420060331825037,6.319036869826937,9.526315789473683
