Iteration,autoVec,explicitVec,fullVec,serial
1,1.5174759558996014,2.7015706806282727,2.7114375655823717,1.770197904540163
2,1.4849334267694465,2.7473684210526317,2.764331210191083,1.779752162730886
3,1.5149501661129567,2.815450643776824,2.7231096911608095,1.7788191190253047
4,1.4976936149550861,2.778135048231511,2.711827956989247,1.7927733907633403
5,1.4562702452568255,2.8645374449339207,2.724284199363733,1.8006551240056152
6,1.4933655006031366,2.809001097694841,2.813823857302118,1.7815927515498333
7,1.4805070557282947,2.864464692482916,2.8900343642611683,1.7790226460071512
8,1.4677117454375292,2.7112750263435195,2.6770833333333335,1.772928821470245
9,1.4790919952210277,2.7713976164680387,2.752453653217012,1.7830548926014318
10,1.4819451131439576,2.881165919282511,2.7995495495495497,1.7764845605700712
MEAN,1.48718557190318,2.7930660888407366,2.755411255411255,1.7814491385414208
