Iteration,autoVec,explicitVec,fullVec,serial
1,3.2258992805755398,2.9033962264150945,2.888805409466567,3.2200577200577203
2,3.226293103448276,2.9055891238670695,2.9096385542168672,3.220620043258832
3,3.226455787203451,2.9064856711915534,2.9040785498489425,3.2252707581227433
4,3.22198275862069,2.924414210128496,2.899020346646571,3.2236652236652237
5,3.2230215827338133,2.9137670196671706,2.8857142857142857,3.222543352601156
6,3.23453237410072,2.9019607843137254,2.8924812030075184,3.2187050359712233
7,3.222142343637671,2.9033962264150945,2.901503759398496,3.2116630669546438
8,3.2298270893371757,2.9101208459214503,2.8918918918918917,3.213976945244957
9,3.23453237410072,2.8958020989505244,2.975867269984917,3.2263878875270366
10,3.2256669069935113,2.887471867966992,2.9736445783132526,
MEAN,3.227338129496403,2.905731523378582,2.9112114371708055,3.220620043258832
