benchmark,autoVec,explicitVec,fullVec
axpy,1.0259088696693999,1.5476056759893668,1.552510389756262
blackscholes,1.0669819739425308,1.7708727467428163,1.6789933963947885
canneal,1.067860302134692,1.8217775613903955,1.7864485116129165
jacobi2d,1.010838581372224,1.3293337752734504,1.3774279085183958
lavamd,1.0173731605534813,1.5515045025258072,1.6199648583351638
particlefilter,1.1056351022215662,1.862978817624917,2.2791349915122887
pathfinder,1.0799161504581105,1.4624914619497373,1.478083708222437
somier,1.0687432867883997,1.5032683750191806,1.5375479515114316
streamcluster,1.0403946559191843,1.158935371167611,1.1371874223053873
swaptions,1.1325233168172544,2.3913764208685513,2.280056834742058
