benchmark,autoVec,explicitVec,fullVec,serial
axpy,504.000000,504.000000,504.000000,504.000000
blackscholes,504.000000,314579921.600000,314579921.600000,504.000000
canneal,5560.000000,1661006781.600000,1661006781.600000,5560.000000
jacobi2d,507.200000,507.200000,507.200000,507.200000
lavaMD,507.200000,47668758.400000,47668758.400000,507.200000
particlefilter,11143235.200000,29493352.000000,29493355.200000,11143235.200000
pathfinder,2006110.400000,25999961.600000,25997304.000000,2006110.400000
somier,507.200000,504.000000,504.000000,507.200000
streamcluster,69379543.200000,69379536.800000,69379536.800000,69379543.200000
swaptions,1994074339.200000,3134817690.400000,3134817691.200000,1994074339.200000
