benchmark,indexInRange,pow,fma,autoVec,explicitVec,fullVec,serial,xorExtended,fmaScalar,xorPublic
axpy,504.000000,,504.000000,,,504.000000,504.000000,,504.000000,
blackscholes,393225776.000000,314579921.600000,,,,314579921.600000,504.000000,,,
canneal,1660934339.200000,,,,,1661006781.600000,5560.000000,,,
jacobi2d,13997237674.400000,,,,,507.200000,507.200000,,,
lavaMD,47668758.400000,,47668758.400000,,,47668758.400000,507.200000,,507.200000,
particlefilter,40798315.200000,,,,,29493355.200000,11143235.200000,29493291.200000,,29493288.000000
pathfinder,15023288483.200000,,,,,25997304.000000,2006110.400000,,,
somier,648904372.800000,507.200000,504.000000,,,504.000000,507.200000,,507.200000,
streamcluster,69379540.000000,69206892.800000,,,,69379536.800000,69379543.200000,,,
swaptions,3029006909.600000,3134817693.600000,,,,3134817691.200000,1994074339.200000,,,
