benchmark,autoVec,explicitVec,fullVec,serial
axpy,0.000000,0.000000,0.000000,0.000000
blackscholes,0.000000,2.000000,2.000000,0.000000
canneal,0.000000,2.000000,2.000000,0.000000
jacobi2d,0.000000,0.000000,0.000000,0.000000
lavaMD,0.000000,0.000000,0.000000,0.000000
particlefilter,0.000000,0.000000,0.000000,0.000000
pathfinder,0.000000,1.000000,0.000000,0.000000
somier,0.000000,0.000000,0.000000,0.000000
streamcluster,0.000000,0.000000,0.000000,0.000000
swaptions,16.000000,25.000000,25.000000,16.000000
