benchmark,autoVec,explicitVec,fullVec,serial
axpy,1723.200000,1739.200000,1723.200000,1723.200000
blackscholes,1728.800000,314579867.200000,314579845.600000,1728.800000
canneal,6768.800000,1661031948.000000,1661032036.000000,6768.800000
jacobi2d,1745.600000,1758.400000,1742.400000,1752.000000
lavaMD,1722.400000,47667309.600000,47667312.800000,1722.400000
particlefilter,11144625.600000,29494635.200000,29494635.200000,11144625.600000
pathfinder,2007364.000000,2003325.600000,2003328.800000,2007364.000000
somier,1758.400000,1739.200000,1739.200000,1758.400000
streamcluster,69380768.000000,69380780.800000,69380761.600000,69380771.200000
swaptions,1994059757.600000,3134782082.400000,3134782085.600000,1994062381.600000
