benchmark,autoVec,explicitVec,fullVec,serial
axpy,0.000000,0.000000,0.000000,0.000000
blackscholes,0.000000,431.000000,468.000000,0.000000
canneal,0.000000,7173.000000,7177.000000,0.000000
jacobi2d,0.000000,0.000000,0.000000,0.000000
lavaMD,0.000000,0.000000,0.000000,0.000000
particlefilter,0.000000,0.000000,0.000000,0.000000
pathfinder,0.000000,0.000000,0.000000,0.000000
somier,0.000000,0.000000,0.000000,0.000000
streamcluster,0.000000,0.000000,0.000000,0.000000
swaptions,904.000000,1387.000000,1507.000000,888.000000
