benchmark,autoVec,explicitVec,fullVec,serial
axpy,1723.200000,1739.200000,1723.200000,1723.200000
blackscholes,4389.600000,314579853.600000,314579843.200000,1728.800000
canneal,6768.800000,1661013310.400000,1661015971.200000,6768.800000
jacobi2d,1745.600000,1758.400000,1742.400000,1745.600000
lavaMD,1719.200000,47667309.600000,47667309.600000,1719.200000
particlefilter,11144577.600000,29494635.200000,29494632.000000,11144574.400000
pathfinder,2007338.400000,2003325.600000,2003325.600000,2007338.400000
somier,1745.600000,1742.400000,1742.400000,1748.800000
streamcluster,69380764.800000,69380777.600000,69383419.200000,69380768.000000
swaptions,1994075592.000000,3134805721.600000,3134818941.600000,1994075586.400000
