benchmark,autoVec,explicitVec,fullVec
axpy,105362300.0000,8999899500.0000,8990502900.0000
blackscholes,235989893100.0000,167184279800.0000,167165213400.0000
canneal,3486082900.0000,169934857600.0000,169899568000.0000
jacobi2d,163970000.0000,700489887100.0000,700497165500.0000
lavaMD,822462176000.0000,469090087200.0000,469100127600.0000
particlefilter,10682947700.0000,4694829515900.0000,4694827296300.0000
pathfinder,370190300.0000,703940897500.0000,38.1086
somier,62708800.0000,118020692100.0000,118044811200.0000
streamcluster,268088886200.0000,382029441600.0000,382031979100.0000
swaptions,80249196400.0000,404739515500.0000,404741392200.0000
