benchmark,autoVec,explicitVec,fullVec,serial
axpy,1053623,89998995,89905029,299480.0
blackscholes,2359898931,1671842798,1671652134,2359699627.0
canneal,34860829,1699348576,1698995680,33405082.0
jacobi2d,1639700,7004898871,7004971655,941821.0
lavaMD,8224621760,4690900872,4691001276,8223987858.0
particlefilter,106829477,46948295159,46948272963,68444467.0
pathfinder,3701903,7039408975,7039654873,3726666.0
somier,627088,1180206921,1180448112,528650.0
streamcluster,2680888862,3820294416,3820319791,19151590.0
swaptions,802491964,4047395155,4047413922,598321770.0
