Iteration,autoVec,explicitVec,fullVec,serial
1,1.220472440944882,1.0,1.1452991452991452,1.191358024691358
2,1.2913385826771653,1.170940170940171,1.2678571428571428,1.5123456790123455
3,1.2419354838709677,1.1229508196721312,1.1404958677685952,1.3594771241830066
4,1.124031007751938,1.093220338983051,1.1636363636363636,1.1153846153846154
5,1.4453125,1.1639344262295082,1.234782608695652,1.4478527607361962
6,1.4684684684684686,1.0169491525423728,1.3148148148148147,1.376543209876543
7,1.330708661417323,1.1965811965811965,1.282051282051282,1.7076923076923076
8,1.1968503937007873,1.1512605042016808,1.1900826446280992,1.3137254901960784
9,1.6126126126126126,1.2051282051282048,1.3333333333333333,1.5131578947368423
10,1.24,1.0491803278688525,1.2521739130434781,1.314102564102564
MEAN,1.3064516129032258,1.1176470588235294,1.234782608695652,1.3670886075949367
