Iteration,autoVec,explicitVec,fullVec,serial
1,1.9416666666666669,4.44742951907131,4.46089850249584,1.9389296956977968
2,1.9470157068062828,2.610867364157948,2.5447289657465912,1.9909587888982336
3,1.9346459991621283,2.4228590469843385,2.374876685300888,1.9186652763295098
4,1.9754705011630367,2.4939230249831192,2.5144683714670255,1.9476694915254238
5,1.9116725830027146,2.3757455268389664,2.3491065519523495,1.932114333753678
6,1.91375,2.351252086811352,2.3416583416583414,1.9455114822546975
7,1.9291604990484243,2.3641579480256496,2.4318028359216743,1.987901543596162
8,1.9027163613392293,2.295894909688013,2.292267365661861,1.9124287824435537
9,1.9341216216216217,2.4732593340060545,2.465661641541039,1.8873591989987486
10,1.8873151426786086,2.3389205497820984,2.3293690122233235,1.9044826141600337
MEAN,1.9278523489932886,2.6183155080213902,2.609375,1.9364646676452084
