Iteration,autoVec,explicitVec,fullVec,serial
1,2.1208771929824564,1.2283575105287787,1.1524896265560165,3.019449198693014
2,2.1014873140857393,1.1291466722303358,1.304480412854797,3.2889191026512576
3,2.364573391868677,0.9967955137192069,1.1979298690325306,3.295942720763723
4,2.1142857142857143,1.0261769052142706,0.9621797478649857,3.6650329877474084
5,2.110586176727909,1.0917676041880515,1.1491769547325101,3.0351586807716244
6,1.8443621780040107,1.167320801487296,1.185342895562528,3.6886307370024753
7,2.146200873362446,1.1995560488346282,1.121058201058201,3.3213610586011346
8,2.0948789898281306,1.0731204943357362,1.0955067920585162,3.379634464751958
9,2.031234171872362,1.0756908289947937,1.1877083333333334,3.399860066468428
10,2.1030801540077,1.1875,1.248205603148877,3.0003103662321537
MEAN,2.097362027073933,1.115126050420168,1.1572071107303492,3.293088809645101
