Iteration,autoVec,explicitVec,fullVec,serial
1,3.343613077182339,2.821285140562249,2.780439121756487,3.3515835579514826
2,3.400336983993261,3.1022044088176353,2.8824701195219125,3.334568733153639
3,3.3329962925513983,3.0120481927710845,2.796812749003984,3.334288121314238
4,3.3415908324907315,2.859437751004016,2.7824351297405188,3.334288121314238
5,3.3449612403100772,2.8112449799196786,2.780439121756487,3.345914069081719
6,3.334288121314238,2.8209255533199196,2.806772908366534,3.3364785172704297
7,3.332266217354676,2.8393574297188753,2.7664670658682633,3.3360849056603774
8,3.328277721604314,2.8514056224899598,3.0518962075848304,3.3342318059299196
9,3.337040781934614,3.0180722891566263,3.0159680638722555,3.350067385444744
10,3.3302999662959216,2.9397590361445785,2.7724550898203595,3.3341196293176076
MEAN,3.342770475227502,2.907630522088353,2.844311377245509,3.3395113732097728
