Iteration,autoVec,explicitVec,fullVec,serial
1,1.1968503937007873,1.1623931623931625,1.170940170940171,1.111111111111111
2,1.1889763779527558,1.170940170940171,1.0535714285714286,1.0925925925925926
3,1.2419354838709677,1.098360655737705,1.1239669421487604,1.1437908496732025
4,1.1627906976744184,1.0,1.0636363636363637,1.021978021978022
5,1.1796875,1.1147540983606559,1.191304347826087,1.0981595092024539
6,1.3243243243243243,1.152542372881356,1.240740740740741,1.1419753086419753
7,1.2125984251968505,1.153846153846154,1.0,1.376923076923077
8,0.968503937007874,1.1596638655462186,1.132231404958678,1.065359477124183
9,1.4054054054054055,1.170940170940171,1.0350877192982455,1.2236842105263157
10,1.184,1.1065573770491803,1.1652173913043478,1.1153846153846154
MEAN,1.2016129032258065,1.1260504201680674,1.1130434782608696,1.1265822784810127
