Iteration,autoVec,explicitVec,fullVec,serial
1,2.459318826868496,4.071428571428571,3.798816568047337,2.429924242424242
2,2.4493850520340588,4.095238095238095,3.776470588235294,2.429924242424242
3,2.4493850520340588,4.005780346820809,3.710982658959538,2.4294507575757573
4,2.450544249881685,4.0773809523809526,3.798816568047337,2.4294507575757573
5,2.450544249881685,4.071428571428571,3.846153846153846,2.4287742546142925
6,2.4482269503546097,4.047337278106509,3.776470588235294,2.429924242424242
7,2.448912015137181,4.071428571428571,3.798816568047337,2.4287742546142925
8,2.4493850520340588,4.094674556213017,3.798816568047337,2.4294507575757573
9,2.450544249881685,3.982558139534884,3.716763005780347,2.4287742546142925
10,2.4493850520340588,4.071428571428571,3.846153846153846,2.429924242424242
MEAN,2.4503311258278146,4.059171597633136,3.788235294117647,2.429924242424242
