Iteration,autoVec,explicitVec,fullVec,serial
1,1.3545833333333333,1.7210613598673299,1.746089850249584,1.3767051416579223
2,1.345130890052356,1.7347283158960511,1.7289657465912869,1.3679562657695543
3,1.3393380812735651,1.7124291902699103,1.7178559684314372,1.3532846715328468
4,1.3520828927891733,1.7586090479405805,1.7392328398384924,1.3718220338983051
5,1.338484025892671,1.7150430748840293,1.726671078755791,1.353930222782682
6,1.33875,1.7215358931552587,1.7256077256077256,1.3423799582463465
7,1.3472192852611546,1.7543030712116099,1.7339635381498986,1.3456403838130997
8,1.3447041482417352,1.6962233169129721,1.7146133682830929,1.3684321586832666
9,1.3576858108108107,1.7457114026236127,1.7393634840871024,1.360241969128077
10,1.330556134138721,1.7184042909822328,1.726792203501817,1.3470883954754922
MEAN,1.3447986577181208,1.7276069518716577,1.7297207446808511,1.3585657370517927
