Iteration,autoVec,explicitVec,fullVec,serial
1,2.485338725985844,2.3674698795180724,2.413173652694611,2.483153638814016
2,2.48407750631845,2.3607214428857715,2.408366533864542,2.4823113207547167
3,2.4843276036400406,2.3815261044176705,2.410358565737052,2.4823925863521485
4,2.482979440512302,2.365461847389558,2.413173652694611,2.4825610783487786
5,2.477418267610381,2.365461847389558,2.413173652694611,2.480033698399326
6,2.48407750631845,2.372233400402415,2.408366533864542,2.4823925863521485
7,2.48407750631845,2.365461847389558,2.413173652694611,2.480458221024259
8,2.4824738793394,2.369477911646586,2.413173652694611,2.4818059299191373
9,2.4843276036400406,2.3674698795180724,2.413173652694611,2.482479784366577
10,2.4838220424671387,2.3674698795180724,2.4151696606786426,2.470092670598147
MEAN,2.483485001685204,2.3674698795180724,2.413173652694611,2.4810446503791073
