Iteration,autoVec,explicitVec,fullVec,serial
1,5.55992596020361,1.6880733944954127,1.2895098488318828,5.611477496239731
2,5.565594632114762,1.4278177458033572,1.4452554744525548,5.60777058279371
3,3.3528588098016336,1.3151278716948418,1.4250448833034108,3.466812015503876
4,3.1313580246913584,1.3425589836660616,1.6080797481636937,3.0561770428015564
5,3.187470780738663,1.7115496227510154,1.5605824232969319,3.542907180385289
6,3.5611582626060905,1.2357207615593835,1.5623356128353498,3.2159979155810317
7,3.1351082358795717,1.7732079905992948,1.9214463840399,3.4411764705882355
8,3.380691714356805,1.344666977177457,1.8104814137720902,3.652185024278048
9,3.6043983822042467,1.2095914742451157,1.437061300889097,2.8974600188146757
10,3.128454070201643,1.7105561861520997,1.739076154806492,3.1975084349857252
MEAN,4.089142628205129,1.451048951048951,1.5603991596638656,4.112573395424175
