Iteration,autoVec,explicitVec,fullVec,serial
1,3.465220643231114,2.0345588235294114,2.189537528430629,3.427415516420752
2,3.49975,2.0065693430656935,2.1742367833209233,3.437992831541219
3,3.489228456913828,2.031571218795888,2.2429687499999997,3.4382937934339806
4,3.471030850263356,2.044313146233382,2.183795948987247,3.445216974346679
5,3.4685542470558755,2.0647803425167535,2.2110438729198183,3.4410847132229425
6,3.5347553324968635,2.1341193809874723,2.1960931630353118,3.446599616858238
7,3.498872463041844,2.0397936624907884,2.17420814479638,3.4397316079559066
8,3.5027610441767068,1.9802775748721693,2.1458944281524928,3.4313397129186605
9,3.5128911138923655,2.0457902511078285,2.20120572720422,3.4477468839884953
10,3.505770195684897,2.1302681992337162,2.1656671664167915,3.4365117393387634
MEAN,3.49498997995992,2.0509977827050996,2.1882530120481927,3.4393105099353605
