benchmark,autoVec,explicitVec,fullVec
axpy,1.0283534334235784,1.5827221265075067,1.5837558454344078
blackscholes,1.0107827476038338,1.703400874390449,1.3649318984361865
canneal,0.9831918263780975,1.472115247468264,1.3217124969033622
jacobi2d,0.9979043547508277,1.3202565069784986,1.5138522150970282
lavamd,0.9772785954040797,1.3969016266460108,1.4701781564678544
particlefilter,1.273096978618298,2.1752201791372467,2.1166887053716223
pathfinder,1.0498197312356603,1.2640937397574565,1.3286081066317055
somier,1.0220487079382785,1.3522959657928981,1.35861684327942
streamcluster,1.1179137031768611,1.3312470365101943,1.2786723565670934
swaptions,1.1105724189619637,1.9583333333333335,1.9907719692711263
