benchmark,autoVec,explicitVec,fullVec,serial
axpy,0.000000,0.000000,0.000000,0.000000
blackscholes,0.000000,367.000000,375.000000,0.000000
canneal,0.000000,429.000000,349.000000,0.000000
jacobi2d,0.000000,0.000000,0.000000,0.000000
lavaMD,0.000000,123.000000,0.000000,0.000000
particlefilter,106.000000,71.000000,70.000000,97.000000
pathfinder,0.000000,0.000000,0.000000,0.000000
somier,0.000000,0.000000,0.000000,0.000000
streamcluster,60.000000,39.000000,36.000000,58.000000
swaptions,628.000000,1757.000000,1702.000000,641.000000
