Iteration,autoVec,explicitVec,fullVec,serial
1,3.6040777619724986,5.872832369942197,5.988235294117647,3.6009433962264152
2,3.6491228070175437,4.895953757225434,4.98235294117647,3.6367924528301883
3,3.607396870554765,5.983050847457627,5.156976744186047,3.6127358490566035
4,3.608345187292556,4.838150289017341,6.041176470588234,3.609905660377358
5,3.6605026078710288,5.196531791907515,5.247058823529412,3.650943396226415
6,3.619724988146041,5.219653179190752,5.0588235294117645,3.5995283018867923
7,3.6168800379326695,5.294797687861272,5.394117647058823,3.6056603773584905
8,3.604551920341394,5.208092485549133,5.311764705882353,3.5990566037735845
9,3.6026552868658133,5.175141242937854,5.242774566473989,3.598584905660377
10,3.6097676623992414,5.445086705202312,5.6764705882352935,3.5999999999999996
MEAN,3.6183025130393554,5.310344827586207,5.423529411764706,3.611320754716981
