Iteration,autoVec,explicitVec,fullVec,serial
1,4.249780123131046,5.562990837696335,5.810926720119336,4.252351456756137
2,4.265433474481836,6.624516627996907,6.039846005774783,4.565588914549653
3,4.18484247631637,6.577967416602017,5.219450954134583,4.423452029938762
4,4.273057701044979,5.825605536332179,5.570088495575221,4.432852894074582
5,4.224239673172946,6.451414277467769,5.918790414606314,4.4634772462077015
6,4.075534023342876,6.381538461538461,5.08666017526777,4.172785227522532
7,4.220119981541301,5.492691029900333,5.748295454545454,4.275658492279746
8,4.131590909090908,5.358281809306867,5.639862043928117,4.184694793536804
9,3.966456109780004,4.869040342298288,4.81829692940804,4.196581196581197
10,4.133333333333334,4.972346670786344,5.803137555002869,4.235750113999088
MEAN,4.17152466367713,5.754498269896194,5.5391490883089025,4.318409090909091
