Iteration,autoVec,explicitVec,fullVec,serial
1,1.8493362148811363,1.083949630221867,1.062162702378573,2.68781017369727
2,1.8628783199505867,1.0777378097521984,1.0570236439499305,2.697068403908795
3,1.8490886623416742,1.0795522686388166,1.0606241303915724,2.6869861951295175
4,1.8467717021933887,1.0753397282174262,1.0592327569071756,2.6856965560037236
5,1.8585983328187712,1.0759392486011192,1.0749502982107355,2.6866273658082536
6,1.8497529339098207,1.0737557465520686,1.063817097415507,2.683010085337471
7,1.847769028871391,1.0749550269838097,1.0616302186878728,2.682382133995037
8,1.8462251042149143,1.0725564661203277,1.0628105744384815,2.6830592615575553
9,1.8457381099444101,1.0819344524380496,1.0606241303915724,2.6817617866004966
10,1.8497065183812171,1.0735705717712916,1.0612447802744085,2.6842513576415827
MEAN,1.8505250154416306,1.0769538277033779,1.062450278440732,2.685745307895145
