Iteration,autoVec,explicitVec,fullVec,serial
1,17.593708851499635,12.917754569190599,12.917283413147583,18.052113316164217
2,17.60649502633119,12.939973901696389,12.946817785527463,18.065767540536445
3,17.587417702999268,12.937771975630984,12.945026178010473,18.058030303030304
4,18.377006573918358,12.936466492602264,12.980752405949255,18.12106463878327
5,18.379758446720682,12.92863359442994,12.932402965547316,18.206264323911384
6,18.38021709218774,12.9359477124183,12.959860383944156,18.12735849056604
7,18.37822962849717,12.913875598086126,12.948057616761242,18.19920562175374
8,18.3762421648066,12.919930374238469,12.955875928352992,18.118631178707222
9,18.37608928298425,12.92686112320418,13.017528483786153,18.207397218401344
10,18.377770983030118,12.926054806437582,12.97596153846154,18.1205900243309
MEAN,18.136823050233822,12.927763272410791,12.960262008733624,18.12794766468888
