Iteration,autoVec,explicitVec,fullVec,serial
1,20.500797730898775,7.6118811881188115,7.620452310717798,19.891163425452064
2,20.574920297555792,7.628230616302187,7.633858267716535,19.90561224489796
3,9.306270096463022,7.688247011952192,7.646305418719213,9.384864427357346
4,9.261359067149176,7.815920398009951,7.84744094488189,9.42775974025974
5,9.236049779205139,7.6706586826347305,7.662055335968379,9.413891145410235
6,9.188353413654617,7.635912698412699,7.661083743842365,9.403081914030818
7,9.218196457326892,7.686567164179105,7.485521235521235,9.365656565656565
8,9.223922674184454,7.70187561697927,7.659090909090909,9.394331983805667
9,9.251207729468598,7.70079522862823,7.708374384236453,9.337218649517686
10,9.208215867901732,7.735059760956175,7.069216757741347,9.334004834810637
MEAN,13.326812059012187,7.68986083499006,7.59609756097561,13.29980964467005
