Iteration,autoVec,explicitVec,fullVec,serial
1,31.25192587965855,4.666321779617175,4.792167101827676,30.323653114360102
2,31.52302563033965,4.865487674169346,5.250944414463033,30.725446428571427
3,31.287976661804542,4.916979110873058,4.99622030237581,30.68808269152817
4,30.88591983556012,4.8430637386181035,5.016198704103671,30.833333333333332
5,31.28663613655287,4.806001034661148,5.0933621154883975,30.33967173738991
6,30.886284186716015,4.8334226031065874,4.922152560083594,30.731885528719303
7,31.25244536940687,4.8586723768736615,4.927684835402051,30.36903329322102
8,31.277141071056466,4.8403856454204615,4.9281857451403885,30.706347596836345
9,30.87970388648982,5.017063081695967,4.938478143550999,30.74203369190177
10,31.30706691682302,4.946466809421842,4.936859147328656,30.748934442865846
MEAN,31.18070539419087,4.8590355060943295,4.979624664879357,30.61661277283751
