Iteration,autoVec,explicitVec,fullVec,serial
1,2.016774193548387,2.846994535519126,3.043715846994536,2.0488126649076515
2,2.072233267064281,2.868131868131868,3.0497237569060776,2.046802900461437
3,2.0881763527054105,2.8626373626373627,3.160220994475138,2.0488126649076515
4,2.0902406417112296,2.857142857142857,3.0276243093922655,2.0481530343007917
5,2.0791223404255317,2.905555555555556,3.1061452513966485,2.046802900461437
6,2.0660938532716457,2.8888888888888893,3.060773480662984,2.047462096242584
7,2.063324538258575,2.8895027624309395,3.0722222222222224,2.047462096242584
8,2.061305207646671,2.8888888888888893,3.0722222222222224,2.0481530343007917
9,2.0606460118655243,2.894444444444445,3.055248618784531,2.047430830039526
10,2.061305207646671,2.894444444444445,3.0722222222222224,2.0414201183431953
MEAN,2.0653896961690883,2.8784530386740332,3.0662983425414367,2.047462096242584
