Iteration,autoVec,explicitVec,fullVec,serial
1,1.3283489096573207,1.7252565375703408,1.721030042918455,1.3356846473029045
2,1.3254413291796467,1.6791093647675182,1.7003300330033004,1.3347167462129073
3,1.3241279069767442,1.718118582312024,1.7031096563011456,1.3273858921161825
4,1.3306216103462662,1.6971900826446282,1.6925107225338172,1.3277293482772936
5,1.3288898146219537,1.7225165562913907,1.707509881422925,1.327521793275218
6,1.332081768877764,1.6948030453492222,1.6891891891891893,1.3334722801167151
7,1.3326377295492489,1.6916721744877727,1.687767886580943,1.3215767634854771
8,1.332846715328467,1.6965923984272608,1.694926350245499,1.3217914161310387
9,1.3327075511055488,1.689153439153439,1.6892114813592873,1.3213101160862355
10,1.33375052148519,1.7082920383217708,1.710569641093184,1.322620775450964
MEAN,1.3301395542595293,1.7022119511389897,1.699703654922621,1.327521793275218
