Iteration,autoVec,explicitVec,fullVec,serial
1,4.473738112655449,12.247606614447346,12.004788855028297,4.312831389183457
2,4.4587478057343475,12.242714223575469,12.022667829119442,4.3239884831035
3,4.4481346013167515,12.24717145343777,12.032722513089006,4.324090909090909
4,4.663812872649442,12.247606614447346,12.063867016622922,4.3406844106463875
5,4.674514600214034,12.2467362924282,12.028783253379851,4.365469824293354
6,4.65204097232839,12.264488017429194,12.034031413612567,4.345709068776628
7,4.664424399938847,12.243584167029143,12.03928415539066,4.364650168041552
8,4.670386791010548,12.239773716275021,12.049803407601573,4.348441064638783
9,4.660449472557713,12.245973008271658,12.086765994741455,4.356717102246676
10,4.666870509096468,12.236189647672902,12.055944055944057,4.343065693430657
MEAN,4.601599034545181,12.245430809399478,12.043668122270741,4.342613722805416
