Iteration,autoVec,explicitVec,fullVec,serial
1,12.887388769561216,15.182272159800249,15.326683291770573,12.889911070223857
2,12.906777062250843,15.384039900249375,14.178784266984508,12.951548604722477
3,12.879410862227676,14.733087330873309,13.907142857142858,12.894817540631706
4,12.879410862227676,14.62718204488778,14.762141967621417,12.892364305427783
5,12.883777982214045,14.62047440699126,14.824691358024689,12.892123812442538
6,13.024539877300615,14.379778051787916,14.92412935323383,12.888991107022385
7,12.87638036809816,14.734082397003744,15.069825436408976,12.891444342226311
8,12.872699386503069,12.984930032292787,13.424538545059718,12.888991107022385
9,12.871205151793928,14.366548042704627,15.062344139650872,12.888991107022385
10,12.865113427345188,14.960687960687963,12.18467583497053,12.889297761422874
MEAN,12.895398773006136,14.5669099756691,14.29739336492891,12.897577430236122
