Iteration,autoVec,explicitVec,fullVec,serial
1,19.26183708275806,37.53296840009953,38.44931921331316,19.656085938131007
2,19.321501096580292,37.45617084678421,38.4469104665826,19.76549210206561
3,34.415878023133544,37.31973293768546,38.479555779909134,34.00374787052811
4,34.24781697520084,37.5843088418431,38.46934140802423,34.00833475080796
5,34.7035864978903,37.53869121672057,38.222055137844606,34.01234985620031
6,34.693741209563996,37.49565001242854,38.47615442846328,34.17868072084325
7,34.64448735955057,37.56499003984064,38.33660130718954,34.22615803814714
8,34.4294189495725,37.60433807030665,38.225563909774436,34.253451508437024
9,34.631929824561404,37.365370324498386,38.2567703109328,34.20510638297873
10,34.61754385964912,37.604935194416754,38.18848560700876,34.23756811989101
MEAN,29.20039851978366,37.50919940328195,38.3546277665996,29.169756097560978
