Iteration,autoVec,explicitVec,fullVec,serial
1,10.332591040083836,23.815993121238176,26.11434782608696,20.863924050632914
2,10.339749505603166,21.73541908072615,25.6617583369424,20.88490118577075
3,10.455737704918032,21.641421947449768,26.21472392638037,20.89432826362484
4,10.487274220032841,21.271714066102998,22.48460354118553,20.80654569021387
5,10.240219808975533,23.89305735230703,25.844609340899172,20.91771048041858
6,10.441097364174288,21.480776699029125,26.438784629133156,20.9725673713087
7,10.602901301518436,24.220594762538838,22.177388656261897,20.95131388038046
8,10.386598612747024,23.952072538860104,25.74262152777778,20.836757269279392
9,10.248185971513033,21.49922480620155,23.140124902419984,20.920045045045043
10,10.340131490674896,23.891903719912474,22.673271173271175,20.84417670682731
MEAN,10.38701091296247,22.670896438804746,24.549418604651166,20.887398179204602
