Iteration,autoVec,explicitVec,fullVec,serial
1,1.8055555555555556,3.0090909090909093,3.2477064220183482,1.9189189189189189
2,1.8703703703703705,3.190909090909091,5.36697247706422,6.117117117117117
3,1.8073394495412844,3.1636363636363636,3.243243243243243,6.126126126126127
4,1.087912087912088,4.622641509433962,2.8428571428571425,6.42
5,1.8333333333333335,3.2545454545454544,4.428571428571428,6.018018018018019
6,1.8333333333333335,3.1363636363636362,1.4915966386554622,6.0
7,1.8333333333333335,3.1363636363636362,3.3055555555555554,7.306306306306307
8,1.7889908256880735,3.145454545454545,3.314814814814815,5.471014492753623
9,1.8256880733944956,3.1363636363636362,3.3084112149532707,5.972972972972973
10,2.532710280373832,4.336363636363636,4.0,5.9909909909909915
MEAN,1.7672413793103445,3.4311926605504586,3.265625,5.728813559322035
