Iteration,autoVec,explicitVec,fullVec,serial
1,11.591899355630561,15.328339575530586,15.38653366583541,11.653173873045077
2,11.58386997853419,15.236907730673316,14.69010727056019,11.651333946642133
3,11.589444614912551,15.152521525215255,14.850000000000001,11.64888071143821
4,11.589751457502302,15.483790523690772,15.417185554171855,11.652867218644587
5,11.583256669733212,15.490636704119849,15.438271604938272,11.642353662273981
6,11.58558282208589,15.141800246609122,15.491293532338307,11.652560564244098
7,11.58435582822086,15.26716604244694,15.4501246882793,11.654707145047531
8,11.583435582822087,13.156081808396124,13.507057546145493,11.651333946642133
9,11.579883471327813,14.501779359430605,15.375311720698253,11.651333946642133
10,11.578479460453709,15.142506142506145,12.107072691552062,11.649494020239189
MEAN,11.58558282208589,14.953771289537714,14.688388625592419,11.651640601042626
