Iteration,autoVec,explicitVec,fullVec,serial
1,2.7802519118308595,2.994730679156909,3.9171854367100547,2.842691520800182
2,2.865616311399444,3.3467981838108662,3.8998652031580976,2.7550975177304964
3,2.847018348623853,3.514387326220498,3.779730740463725,2.8133960573476697
4,2.865799860691897,3.4142924602549978,3.6978221415607986,2.828971119133574
5,2.8621089223638467,3.4723806420074954,3.959861724601498,2.807866184448463
6,2.856449375866852,3.8333629419079767,3.8385607081008275,2.7658536585365856
7,2.8275312855517636,3.543978797415935,3.4663328729281773,2.804093567251462
8,2.8528405201916494,3.4703703703703703,3.925876010781671,2.888449918661399
9,2.800769753226172,3.46336698143927,3.9599079225014386,2.8439002059967957
10,2.879443938012762,3.3991683991683987,3.644604823094525,2.910826542491269
MEAN,2.843757159221077,3.4360258481421644,3.803654670893157,2.8255945639864097
