Iteration,Ratio explicitVec,Ratio fullVec,Ratio autoVec,Ratio serial
0,1.707107515104992e-05,1.872685986926217e-05,2.1010441491979477e-05,4.465886649728162e-05
1,2.628563068381709e-05,0.0001818861985441,0.0005854842101304,1.5345123549634536e-05
2,4.856677154767247e-05,2.5465436338755005e-05,4.502998870724212e-05,8.898223561854679e-06
3,0.0002059315393708,4.3132187795572577e-05,0.0010295685502092,5.196486950016937e-05
4,0.0006625395430487,0.0006266849215517,0.000715058174666,0.0004256603704877
5,4.5327818885770175e-05,7.461907906094579e-05,0.0001797200628116,5.5713407309506976e-06
6,3.371938551889721e-05,9.417529226407076e-06,8.879687952053272e-05,4.884654726460712e-06
7,0.0002747518386766,2.437321748335962e-05,6.172465502041387e-05,1.7119475733857347e-05
8,0.0001682821775199,1.8806655173025603e-05,1.7459532738475086e-05,1.7685693843475717e-05
9,9.097837511328988e-06,2.3412398302353494e-05,0.0001097798026778,2.608264496876278e-05
