Iteration,Ratio explicitVec,Ratio serial,Ratio fullVec,Ratio autoVec
0,1.3412298284515804e-05,1.3261185410991176e-05,3.936642558417358e-06,6.897284981531916e-06
1,1.361600151498668e-05,1.291283607617219e-05,3.7310237931795856e-06,1.3612416201613453e-05
2,2.508822917652667e-05,1.3799362240620591e-05,1.4268794826791457e-05,1.7848067361291034e-05
3,1.7518311409256913e-05,1.386471534332332e-05,1.4139424086396716e-05,6.844168224949742e-06
4,2.8305785372349942e-05,2.056859476925495e-05,3.093344587017307e-05,1.481882386350133e-05
5,1.314846001532157e-05,1.2882492295919602e-05,1.3505498873518532e-05,8.642244546240132e-06
6,1.3126995356967077e-05,1.2980268894349957e-05,1.3480351935265196e-05,7.4922564080577216e-06
7,1.3490660566771133e-05,1.2951702219031355e-05,2.3181881368920637e-05,6.886200468694944e-06
8,1.3798503038373786e-05,1.2889651074269118e-05,1.367361198507448e-05,6.585554660439908e-06
9,1.322640072617001e-05,1.3205858456963657e-05,1.3924845778971437e-05,7.942605424364241e-06
