Iteration,Ratio fullVec,Ratio explicitVec,Ratio autoVec,Ratio serial
0,7.657839661749537e-05,8.939876858798294e-05,6.038215787368469e-06,6.590936257467313e-06
1,7.77267732687023e-05,9.146960617917908e-05,1.6604240902212182e-05,1.4746170232401523e-05
2,8.024056224580009e-05,9.29018248194264e-05,4.133396294582984e-05,4.2240051007732125e-05
3,8.38052435698085e-05,9.676827201954828e-05,4.161128446571695e-05,4.31296168585011e-05
4,8.314561498614578e-05,0.0001036646935953,4.446426992791435e-05,4.624988707283927e-05
5,8.42610428251225e-05,9.890302046329456e-05,4.28918283169874e-05,4.243855091244104e-05
6,9.884505406299176e-05,9.932757656154114e-05,4.305177117180275e-05,4.245933341688117e-05
7,8.9463585307076e-05,0.0001027522426229,4.235909250016382e-05,4.2659140534720863e-05
8,9.66829855831713e-05,0.0001026515070311,4.25601917040279e-05,4.468231564248975e-05
9,9.21662146819016e-05,0.0001067966102357,4.2774924421234975e-05,4.3272853699170094e-05
