Iteration,Ratio serial,Ratio explicitVec,Ratio autoVec,Ratio fullVec
0,2.3376509606882905e-05,5.767870993987968e-05,0.0250486117950083,9.5350563991002e-05
1,2.7590724422244632e-05,6.862109320144663e-05,0.0252963949240186,0.0001088416571289
2,2.7453542234102823e-05,6.508194507030172e-05,0.0248348409662172,0.0001026287314586
3,3.0515397874211657e-05,0.00010958400377,0.0250355111828435,0.0001436223648773
4,3.2901866309609866e-05,7.04600533822661e-05,0.0253098445254904,0.0001091780381809
5,3.486362162389599e-05,7.987806961194727e-05,0.0250464621641242,0.0001163472573839
6,3.709605030322063e-05,7.77946674545368e-05,0.0248434531811058,0.0001678779053473
7,4.079062299829533e-05,8.436642630508406e-05,0.0248573573307057,0.0001428026813512
8,4.818734880424561e-05,0.0001025769792531,0.0255663959203187,0.0001448571796001
9,4.452397743519839e-05,0.0001020213991509,0.0253059612830444,0.0001377093624489
