Iteration,serial,explicitVec,fullVec,autoVec
0,4.586845821798286e-05,2.214370888985884e-05,2.8878303395027705e-05,2.0982841380436816e-05
1,1.658289556262538e-05,6.616049762474208e-05,2.0418873884844056e-05,0.00041207810637
2,7.493768063179606e-05,0.0004772729899249,5.455219050182045e-05,7.277644915004659e-05
3,5.731287899336504e-05,0.0002103654317398,1.1497702260743611e-05,1.7456418871854743e-05
4,0.0004553596718232,0.0001170070819995,8.712433469777313e-05,0.0001237190283643
5,4.706000384163865e-06,5.222768437217823e-05,0.000688525732934,0.0002097131225317
6,2.1048356710766608e-06,0.0002368599443368,0.0002351232883993,0.0001153358667925
7,6.150195756888516e-06,2.0901288925975635e-05,0.0001057661414612,4.62990005441516e-05
8,1.7909896600088698e-06,0.000344696467617,9.665484918217775e-05,5.722479390684248e-05
9,3.0188655405323776e-05,5.393050528686701e-05,9.958262049755092e-05,0.0001120986891862
