Iteration,explicitVec,serial,fullVec,autoVec
0,8.437662100042011e-06,4.33896215278681e-06,1.0150025491310247e-05,5.272474428328099e-06
1,8.800927413969202e-06,4.528287636516306e-06,7.509449478649652e-06,9.217282024339327e-06
2,9.293440718234087e-06,4.308071431442104e-06,7.670038867377904e-06,4.554523412527557e-06
3,1.651669896867319e-05,4.99683812107288e-06,1.180082343331377e-05,3.851356443863663e-06
4,7.334862463623016e-06,5.391760583617868e-06,2.8400503198796348e-05,1.098091804461692e-05
5,7.12283121081291e-06,4.268855757958806e-06,3.50117008920497e-05,6.13757587124717e-06
6,9.674459749012158e-06,4.082782646240668e-06,6.915311691582928e-06,3.393293105339511e-05
7,8.924736535860645e-06,4.362143961661291e-06,1.415012028312818e-05,4.255897175880224e-06
8,3.15162963156848e-05,4.289672013133342e-06,1.2447798585701754e-05,4.044302297433588e-06
9,2.1093028165943224e-05,4.16012260946617e-06,1.6709377218118936e-05,5.4502398679274e-06
