Iteration,fullVec,explicitVec,autoVec,serial
0,8.644124971281918e-05,8.428727841294415e-05,3.049480460046021e-06,3.1174862657385804e-06
1,8.698999309504988e-05,8.544896543577114e-05,9.906001703368356e-06,8.53067469300555e-06
2,8.714385338218019e-05,8.679374780623693e-05,2.7043197836793437e-06,2.9661626883066003e-06
3,8.831136880828142e-05,8.909005815231309e-05,2.851134132541898e-06,2.8657170982228e-06
4,8.677616262319232e-05,8.607324344448517e-05,6.098310877489346e-06,5.439091972095855e-06
5,8.731447882999079e-05,8.493213577753226e-05,1.939186751358736e-05,2.538824666670766e-06
6,0.0001011554931752,8.520940829056243e-05,2.974990498108684e-06,3.6651519854817024e-06
7,9.219267051487144e-05,8.54747656175559e-05,2.766077206782328e-06,2.6304167442274703e-06
8,9.29997096568501e-05,8.706737628240957e-05,2.359933690439303e-06,4.380843317507364e-06
9,8.892540604773282e-05,9.107755617808197e-05,2.9719625873055324e-06,2.4542058323861074e-06
