Iteration,fma,fmaScalar,indexInRange,pow
0,0.0002200573011725,1.3542821354064322e-06,0.0034196080776352,0.0025198888617669
1,0.0002572778978357,1.2408530264117835e-06,0.0034191703679262,0.0025236721179027
2,0.0002200478619064,4.7613176273012e-06,0.0034165294434135,0.0025194318177846
3,0.0002300356618018,3.1855589366520444e-06,0.0034183589124626,0.0025205524527709
4,0.0002497930762201,6.364250097666363e-06,0.003418153174062,0.0025227636074701
5,0.0002318504350866,1.3314661523676662e-06,0.0034217585686275,0.0025203336449097
6,0.0002236748188983,1.166576633205097e-06,0.0034156892941342,0.0025207309925899
7,0.0002192680005545,1.7296952713189124e-06,0.0034160071382475,0.0025191176575016
8,0.0002164450966059,5.099472278909327e-06,0.0034175178861641,0.0025193189587742
9,0.0002283953904147,3.1293832855224418e-06,0.003417041230614,0.0025185813857114
