Iteration,autoVec,explicitVec,fullVec,serial
1,1.8947040498442365,4.472029129427342,4.415318586992407,1.9016597510373443
2,1.891173416407061,2.58316961362148,2.5386138613861386,1.8937538908487237
3,1.881436877076412,2.430606160980457,2.345990180032733,1.8898340248962655
4,1.8808927826449728,2.4277685950413224,2.3817222038931045,1.8827314238273143
5,1.873776296604874,2.382450331125828,2.3442028985507246,1.8760896637608968
6,1.875677930746767,2.3664349553128106,2.3269611074489123,1.877448937057107
7,1.8674874791318865,2.356576338400529,2.3020112100230796,1.862863070539419
8,1.861939520333681,2.3194626474442988,2.2851063829787233,1.860874974082521
9,1.8564872757613686,2.3515211640211637,2.2860442098317386,1.8542703150912108
10,1.8614935335836462,2.3207796498183018,2.2795521896608495,1.855276798673025
MEAN,1.8746094563632576,2.6005282271376693,2.54988475469213,1.8756745537567459
